household_key,voucher_recommendation_rank,recommended_item,recommended_item_group,predicted_purchase_score,strongest_purchased_anchor_item,strongest_purchased_anchor_group,anchor_item_similarity,household_eligible_item_count,recommended_item_basket_count,score_method,diversity_relaxed_flag
1014,3,SHAVING CARE PRODUCTS,DRUG GM,0.1085495737875694,DEODORANTS,DRUG GM,0.16401408387775565,179,3286,top_5_filtered_similarity_mean,0
1015,1,SOFT DRINKS,GROCERY,0.34500519559637993,BAG SNACKS,GROCERY,0.37453996828661845,111,71545,top_5_filtered_similarity_mean,0
1015,2,CHEESES,DELI,0.2756888968181451,DELI MEATS,DELI,0.5124038182012465,111,11320,top_5_filtered_similarity_mean,0
1015,3,TOMATOES,PRODUCE,0.266733281915695,VEGETABLES - ALL OTHERS,PRODUCE,0.2848437197977615,111,15256,top_5_filtered_similarity_mean,0
1016,1,BEEF,MEAT,0.3581789476862284,BAKED BREAD/BUNS/ROLLS,GROCERY,0.39976606740901244,153,36695,top_5_filtered_similarity_mean,0
1016,2,REFRGRATD JUICES/DRNKS,GROCERY,0.2934740440297717,FLUID MILK PRODUCTS,GROCERY,0.3483265945723694,153,25920,top_5_filtered_similarity_mean,0
1016,3,BACON,MEAT-PCKGD,0.2471736706579158,EGGS,GROCERY,0.2782867893324901,153,10864,top_5_filtered_similarity_mean,0
1017,1,CHEESES,DELI,0.2756888968181451,DELI MEATS,DELI,0.5124038182012465,144,11320,top_5_filtered_similarity_mean,0
1017,2,CARROTS,PRODUCE,0.22085074583064973,VEGETABLES - ALL OTHERS,PRODUCE,0.2897394778503322,144,8400,top_5_filtered_similarity_mean,0
1017,3,FRZN NOVELTIES/WTR ICE,GROCERY,0.1706205456975011,FLUID MILK PRODUCTS,GROCERY,0.18130019298630506,144,10346,top_5_filtered_similarity_mean,0
1018,1,DRY NOODLES/PASTA,GROCERY,0.28500561090039295,VEGETABLES - SHELF STABLE,GROCERY,0.31336922164269726,114,14017,top_5_filtered_similarity_mean,0
1018,2,TOMATOES,PRODUCE,0.27410861569152817,VEGETABLES SALAD,PRODUCE,0.3217203886769275,114,15256,top_5_filtered_similarity_mean,0
1018,3,CHICKEN,MEAT,0.24823073037344917,BEEF,MEAT,0.2856478769962882,114,15042,top_5_filtered_similarity_mean,0
1019,1,VEGETABLES - SHELF STABLE,GROCERY,0.3370680022162481,BEEF,MEAT,0.35804043353862086,106,22588,top_5_filtered_similarity_mean,0
1019,2,CHEESES,DELI,0.2756888968181451,DELI MEATS,DELI,0.5124038182012465,106,11320,top_5_filtered_similarity_mean,0
1019,3,SALAD MIX,PRODUCE,0.2596620162630081,SALD DRSNG/SNDWCH SPRD,GROCERY,0.27425501022864407,106,15518,top_5_filtered_similarity_mean,0
102,1,BEEF,MEAT,0.3448673141541469,BAKED BREAD/BUNS/ROLLS,GROCERY,0.39976606740901244,44,36695,top_5_filtered_similarity_mean,0
102,2,VEGETABLES - SHELF STABLE,GROCERY,0.31102526534038055,BEANS - CANNED GLASS & MW,GROCERY,0.3400501483841249,44,22588,top_5_filtered_similarity_mean,0
102,3,LUNCHMEAT,MEAT-PCKGD,0.3049414483221692,BAKED BREAD/BUNS/ROLLS,GROCERY,0.3602845074558083,44,23697,top_5_filtered_similarity_mean,0
1020,1,FRZN BREAKFAST FOODS,GROCERY,0.19417987606912163,FROZEN PIZZA,GROCERY,0.20076565147032396,184,7303,top_5_filtered_similarity_mean,0
1020,2,BROCCOLI/CAULIFLOWER,PRODUCE,0.1763248300321087,VEGETABLES - ALL OTHERS,PRODUCE,0.2246485340381617,184,4469,top_5_filtered_similarity_mean,0
1020,3,DEODORANTS,DRUG GM,0.08899779024171653,ORAL HYGIENE PRODUCTS,DRUG GM,0.15166608994163888,184,4251,top_5_filtered_similarity_mean,0
1021,1,MILK BY-PRODUCTS,GROCERY,0.29464073408766606,CHEESE,GROCERY,0.35946949395637046,126,19695,top_5_filtered_similarity_mean,0
1021,2,DELI MEATS,DELI,0.2688785464326188,BAKED BREAD/BUNS/ROLLS,GROCERY,0.3380404700364719,126,17114,top_5_filtered_similarity_mean,0
1021,3,CHICKEN,MEAT,0.24823073037344917,BEEF,MEAT,0.2856478769962882,126,15042,top_5_filtered_similarity_mean,0
1022,1,FLUID MILK PRODUCTS,GROCERY,0.39284249268358423,BAKED BREAD/BUNS/ROLLS,GROCERY,0.4796043164210295,53,69198,top_5_filtered_similarity_mean,0
1022,2,LUNCHMEAT,MEAT-PCKGD,0.2768328358949107,BAKED BREAD/BUNS/ROLLS,GROCERY,0.3602845074558083,53,23697,top_5_filtered_similarity_mean,0
1022,3,SALAD MIX,PRODUCE,0.25057921609433753,SALD DRSNG/SNDWCH SPRD,GROCERY,0.27425501022864407,53,15518,top_5_filtered_similarity_mean,0
1023,1,LUNCHMEAT,MEAT-PCKGD,0.30792961782186057,BAKED BREAD/BUNS/ROLLS,GROCERY,0.3602845074558083,181,23697,top_5_filtered_similarity_mean,0
1023,2,DRY NOODLES/PASTA,GROCERY,0.28500561090039295,VEGETABLES - SHELF STABLE,GROCERY,0.31336922164269726,181,14017,top_5_filtered_similarity_mean,0
1023,3,VEGETABLES SALAD,PRODUCE,0.2436765080727091,TOMATOES,PRODUCE,0.3217203886769275,181,10708,top_5_filtered_similarity_mean,0
1024,1,MUSHROOMS,PRODUCE,0.17776597519732318,ONIONS,PRODUCE,0.19739962728198437,167,4735,top_5_filtered_similarity_mean,0
1024,2,SEAFOOD - FROZEN,SEAFOOD-PCKGD,0.16338154190474155,BEEF,MEAT,0.16883103705314065,167,7517,top_5_filtered_similarity_mean,0
1024,3,FLOUR & MEALS,GROCERY,0.15913659642470623,SUGARS/SWEETNERS,GROCERY,0.1907342342278968,167,3135,top_5_filtered_similarity_mean,0
1025,1,APPLES,PRODUCE,0.25397193898674997,TROPICAL FRUIT,PRODUCE,0.31575158289636746,113,13210,top_5_filtered_similarity_mean,0
1025,2,PAPER TOWELS,GROCERY,0.22084524917920006,BATH TISSUES,GROCERY,0.31805533572121436,113,10170,top_5_filtered_similarity_mean,0
1025,3,SOAP - LIQUID & BAR,DRUG GM,0.15274505248553422,HAIR CARE PRODUCTS,DRUG GM,0.20766278089154525,113,5861,top_5_filtered_similarity_mean,0
1026,1,SOUP,GROCERY,0.32200441264446633,VEGETABLES - SHELF STABLE,GROCERY,0.3347097120331105,47,23576,top_5_filtered_similarity_mean,0
1026,2,TOMATOES,PRODUCE,0.26730100632527665,VEGETABLES SALAD,PRODUCE,0.3217203886769275,47,15256,top_5_filtered_similarity_mean,0
1026,3,CHICKEN,MEAT,0.2460322150884915,BEEF,MEAT,0.2856478769962882,47,15042,top_5_filtered_similarity_mean,0
1027,1,REFRGRATD JUICES/DRNKS,GROCERY,0.2934740440297717,FLUID MILK PRODUCTS,GROCERY,0.3483265945723694,85,25920,top_5_filtered_similarity_mean,0
1027,2,SALAD MIX,PRODUCE,0.2596620162630081,SALD DRSNG/SNDWCH SPRD,GROCERY,0.27425501022864407,85,15518,top_5_filtered_similarity_mean,0
1027,3,BACON,MEAT-PCKGD,0.2488796177918003,EGGS,GROCERY,0.2782867893324901,85,10864,top_5_filtered_similarity_mean,0
1028,1,CHEESE,GROCERY,0.3871789231919197,BAKED BREAD/BUNS/ROLLS,GROCERY,0.4500893368435206,29,46856,top_5_filtered_similarity_mean,0
1028,2,BEEF,MEAT,0.3181406603840227,BAKED BREAD/BUNS/ROLLS,GROCERY,0.39976606740901244,29,36695,top_5_filtered_similarity_mean,0
1028,3,DELI MEATS,DELI,0.25837312205586027,BAKED BREAD/BUNS/ROLLS,GROCERY,0.3380404700364719,29,17114,top_5_filtered_similarity_mean,0
1029,1,LUNCHMEAT,MEAT-PCKGD,0.30792961782186057,BAKED BREAD/BUNS/ROLLS,GROCERY,0.3602845074558083,163,23697,top_5_filtered_similarity_mean,0
1029,2,MILK BY-PRODUCTS,GROCERY,0.29464073408766606,CHEESE,GROCERY,0.35946949395637046,163,19695,top_5_filtered_similarity_mean,0
1029,3,VEGETABLES SALAD,PRODUCE,0.2436765080727091,TOMATOES,PRODUCE,0.3217203886769275,163,10708,top_5_filtered_similarity_mean,0
103,1,EGGS,GROCERY,0.3366765410818301,FLUID MILK PRODUCTS,GROCERY,0.3929214210952837,82,27866,top_5_filtered_similarity_mean,0
103,2,TOMATOES,PRODUCE,0.2800155158374485,VEGETABLES SALAD,PRODUCE,0.3217203886769275,82,15256,top_5_filtered_similarity_mean,0
103,3,DELI MEATS,DELI,0.2688785464326188,BAKED BREAD/BUNS/ROLLS,GROCERY,0.3380404700364719,82,17114,top_5_filtered_similarity_mean,0
1030,1,CHEESES,DELI,0.2756888968181451,DELI MEATS,DELI,0.5124038182012465,98,11320,top_5_filtered_similarity_mean,0
1030,2,CONDIMENTS/SAUCES,GROCERY,0.27241803638884715,BAKED BREAD/BUNS/ROLLS,GROCERY,0.29632559144823056,98,17858,top_5_filtered_similarity_mean,0
1030,3,APPLES,PRODUCE,0.2522396962151765,TROPICAL FRUIT,PRODUCE,0.31575158289636746,98,13210,top_5_filtered_similarity_mean,0
1031,1,PASTA SAUCE,GROCERY,0.3164439990695901,DRY NOODLES/PASTA,GROCERY,0.5010828360778531,144,11722,top_5_filtered_similarity_mean,0
1031,2,PEPPERS-ALL,PRODUCE,0.2445098339722407,ONIONS,PRODUCE,0.3075117366367512,144,8220,top_5_filtered_similarity_mean,0
1031,3,FROZEN MEAT,MEAT-PCKGD,0.20665363864607095,FROZEN PIZZA,GROCERY,0.22280977700770946,144,8209,top_5_filtered_similarity_mean,0
1032,1,COLD CEREAL,GROCERY,0.3353128912239514,FLUID MILK PRODUCTS,GROCERY,0.40360671489083316,132,25128,top_5_filtered_similarity_mean,0
1032,2,ONIONS,PRODUCE,0.2706547371374842,POTATOES,PRODUCE,0.28343653913621447,132,15553,top_5_filtered_similarity_mean,0
1032,3,CHICKEN,MEAT,0.2460322150884915,BEEF,MEAT,0.2856478769962882,132,15042,top_5_filtered_similarity_mean,0
1033,1,PASTA SAUCE,GROCERY,0.3164439990695901,DRY NOODLES/PASTA,GROCERY,0.5010828360778531,89,11722,top_5_filtered_similarity_mean,0
1033,2,DELI MEATS,DELI,0.2688785464326188,BAKED BREAD/BUNS/ROLLS,GROCERY,0.3380404700364719,89,17114,top_5_filtered_similarity_mean,0
1033,3,APPLES,PRODUCE,0.24948571618572163,TROPICAL FRUIT,PRODUCE,0.31575158289636746,89,13210,top_5_filtered_similarity_mean,0
1034,1,BAG SNACKS,GROCERY,0.3359890333427484,BAKED BREAD/BUNS/ROLLS,GROCERY,0.38992314376473686,72,41975,top_5_filtered_similarity_mean,0
1034,2,DELI MEATS,DELI,0.2598068490184974,BAKED BREAD/BUNS/ROLLS,GROCERY,0.3380404700364719,72,17114,top_5_filtered_similarity_mean,0
1034,3,SALAD MIX,PRODUCE,0.25220548956810296,CHEESE,GROCERY,0.27346556914714587,72,15518,top_5_filtered_similarity_mean,0
1035,1,BAKED BREAD/BUNS/ROLLS,GROCERY,0.27952348985059594,TROPICAL FRUIT,PRODUCE,0.36755924700410825,19,60263,top_5_filtered_similarity_mean,0
1035,2,BEEF,MEAT,0.24211207764220535,SOUP,GROCERY,0.2841945975002836,19,36695,top_5_filtered_similarity_mean,0
1035,3,ONIONS,PRODUCE,0.20491374284879788,TROPICAL FRUIT,PRODUCE,0.22549111086545107,19,15553,top_5_filtered_similarity_mean,0
1036,1,BEEF,MEAT,0.3581789476862284,BAKED BREAD/BUNS/ROLLS,GROCERY,0.39976606740901244,80,36695,top_5_filtered_similarity_mean,0
1036,2,MEAT - SHELF STABLE,GROCERY,0.2832027413111386,DINNER MXS:DRY,GROCERY,0.3028661333919106,80,13797,top_5_filtered_similarity_mean,0
1036,3,DELI MEATS,DELI,0.2688785464326188,BAKED BREAD/BUNS/ROLLS,GROCERY,0.3380404700364719,80,17114,top_5_filtered_similarity_mean,0
1037,1,VEGETABLES - SHELF STABLE,GROCERY,0.3310205932897114,BEEF,MEAT,0.35804043353862086,48,22588,top_5_filtered_similarity_mean,0
1037,2,TROPICAL FRUIT,PRODUCE,0.3256148474533174,FLUID MILK PRODUCTS,GROCERY,0.377251208615489,48,32466,top_5_filtered_similarity_mean,0
1037,3,DELI MEATS,DELI,0.2627207807279318,BAKED BREAD/BUNS/ROLLS,GROCERY,0.3380404700364719,48,17114,top_5_filtered_similarity_mean,0
1038,1,YOGURT,GROCERY,0.27724396853637334,FLUID MILK PRODUCTS,GROCERY,0.299378740169095,124,17594,top_5_filtered_similarity_mean,0
1038,2,BERRIES,PRODUCE,0.2008746549949303,TROPICAL FRUIT,PRODUCE,0.25458327434190026,124,9113,top_5_filtered_similarity_mean,0
1038,3,HAIR CARE PRODUCTS,DRUG GM,0.14175323103927745,FLUID MILK PRODUCTS,GROCERY,0.15484663784347685,124,7933,top_5_filtered_similarity_mean,0
1039,1,ONIONS,PRODUCE,0.2783615935036775,VEGETABLES - ALL OTHERS,PRODUCE,0.29553283050427526,135,15553,top_5_filtered_similarity_mean,0
1039,2,CANNED JUICES,GROCERY,0.2656950814354297,FLUID MILK PRODUCTS,GROCERY,0.29278736268784605,135,20165,top_5_filtered_similarity_mean,0
1039,3,CHICKEN,MEAT,0.24823073037344917,BEEF,MEAT,0.2856478769962882,135,15042,top_5_filtered_similarity_mean,0
104,1,VEGETABLES SALAD,PRODUCE,0.2436765080727091,TOMATOES,PRODUCE,0.3217203886769275,148,10708,top_5_filtered_similarity_mean,0
104,2,SEAFOOD - SHELF STABLE,GROCERY,0.21382942984086287,SOUP,GROCERY,0.2177304728608456,148,7887,top_5_filtered_similarity_mean,0
104,3,SEAFOOD - FROZEN,SEAFOOD-PCKGD,0.16338154190474155,BEEF,MEAT,0.16883103705314065,148,7517,top_5_filtered_similarity_mean,0
1040,1,VEGETABLES - SHELF STABLE,GROCERY,0.32675249521162875,BEEF,MEAT,0.35804043353862086,139,22588,top_5_filtered_similarity_mean,0
1040,2,BACON,MEAT-PCKGD,0.2488796177918003,EGGS,GROCERY,0.2782867893324901,139,10864,top_5_filtered_similarity_mean,0
1040,3,PORK,MEAT,0.24563711467285598,BEEF,MEAT,0.3058265786268862,139,12371,top_5_filtered_similarity_mean,0
1041,1,HOUSEHOLD CLEANG NEEDS,GROCERY,0.17944623589269337,AIR CARE,GROCERY,0.20329394658252725,166,7384,top_5_filtered_similarity_mean,0
1041,2,MUSHROOMS,PRODUCE,0.17776597519732318,ONIONS,PRODUCE,0.19739962728198437,166,4735,top_5_filtered_similarity_mean,0
1041,3,SHAVING CARE PRODUCTS,DRUG GM,0.1085495737875694,DEODORANTS,DRUG GM,0.16401408387775565,166,3286,top_5_filtered_similarity_mean,0
1042,1,PAPER HOUSEWARES,GROCERY,0.17203571302189655,FACIAL TISS/DNR NAPKIN,GROCERY,0.17997515815396306,171,7685,top_5_filtered_similarity_mean,0
1042,2,ORGANICS FRUIT & VEGETABLES,PRODUCE,0.1623652897532286,VEGETABLES - ALL OTHERS,PRODUCE,0.1861011194188492,171,5287,top_5_filtered_similarity_mean,0
1042,3,BABY FOODS,DRUG GM,0.13642481073885815,INFANT FORMULA,DRUG GM,0.21580047646989922,171,4230,top_5_filtered_similarity_mean,0
1043,1,ONIONS,PRODUCE,0.2849423716603917,PEPPERS-ALL,PRODUCE,0.3075117366367512,73,15553,top_5_filtered_similarity_mean,0
1043,2,YOGURT,GROCERY,0.27724396853637334,FLUID MILK PRODUCTS,GROCERY,0.299378740169095,73,17594,top_5_filtered_similarity_mean,0
1043,3,PORK,MEAT,0.24791236641649245,BEEF,MEAT,0.3058265786268862,73,12371,top_5_filtered_similarity_mean,0
1044,1,TROPICAL FRUIT,PRODUCE,0.32979600808386483,FLUID MILK PRODUCTS,GROCERY,0.377251208615489,64,32466,top_5_filtered_similarity_mean,0
1044,2,DRY NOODLES/PASTA,GROCERY,0.28500561090039295,VEGETABLES - SHELF STABLE,GROCERY,0.31336922164269726,64,14017,top_5_filtered_similarity_mean,0
1044,3,DELI MEATS,DELI,0.2627207807279318,BAKED BREAD/BUNS/ROLLS,GROCERY,0.3380404700364719,64,17114,top_5_filtered_similarity_mean,0
1045,1,CHICKEN,MEAT,0.2460322150884915,BEEF,MEAT,0.2856478769962882,160,15042,top_5_filtered_similarity_mean,0
1045,2,COFFEE,GROCERY,0.1871795082173457,FLUID MILK PRODUCTS,GROCERY,0.21374726865232654,160,11463,top_5_filtered_similarity_mean,0
1045,3,MUSHROOMS,PRODUCE,0.17776597519732318,ONIONS,PRODUCE,0.19739962728198437,160,4735,top_5_filtered_similarity_mean,0
1046,1,DELI MEATS,DELI,0.3238446237333811,CHEESES,DELI,0.5124038182012465,150,17114,top_5_filtered_similarity_mean,0
1046,2,SALAD MIX,PRODUCE,0.2596620162630081,SALD DRSNG/SNDWCH SPRD,GROCERY,0.27425501022864407,150,15518,top_5_filtered_similarity_mean,0
1046,3,BEANS - CANNED GLASS & MW,GROCERY,0.25488649197794444,VEGETABLES - SHELF STABLE,GROCERY,0.3400501483841249,150,9495,top_5_filtered_similarity_mean,0
1047,1,PASTA SAUCE,GROCERY,0.31994101637596967,DRY NOODLES/PASTA,GROCERY,0.5010828360778531,98,11722,top_5_filtered_similarity_mean,0
1047,2,PEPPERS-ALL,PRODUCE,0.2445098339722407,ONIONS,PRODUCE,0.3075117366367512,98,8220,top_5_filtered_similarity_mean,0
1047,3,MEAT - MISC,MEAT-PCKGD,0.20098771903766396,BAKED BREAD/BUNS/ROLLS,GROCERY,0.21992499085505302,98,8420,top_5_filtered_similarity_mean,0
1048,1,LUNCHMEAT,MEAT-PCKGD,0.30792961782186057,BAKED BREAD/BUNS/ROLLS,GROCERY,0.3602845074558083,114,23697,top_5_filtered_similarity_mean,0
1048,2,FROZEN PIZZA,GROCERY,0.2929942954043147,FRZN MEAT/MEAT DINNERS,GROCERY,0.3133833569227961,114,23142,top_5_filtered_similarity_mean,0
1048,3,SEAFOOD - FROZEN,SEAFOOD-PCKGD,0.16851147068743405,SEAFOOD - MISC,SEAFOOD-PCKGD,0.17836823603979743,114,7517,top_5_filtered_similarity_mean,0
1049,1,SOUP,GROCERY,0.32200441264446633,VEGETABLES - SHELF STABLE,GROCERY,0.3347097120331105,84,23576,top_5_filtered_similarity_mean,0
1049,2,VEGETABLES - ALL OTHERS,PRODUCE,0.27442220476561696,ONIONS,PRODUCE,0.29553283050427526,84,16345,top_5_filtered_similarity_mean,0
1049,3,DELI MEATS,DELI,0.2688785464326188,BAKED BREAD/BUNS/ROLLS,GROCERY,0.3380404700364719,84,17114,top_5_filtered_similarity_mean,0
105,1,CHEESES,DELI,0.2756888968181451,DELI MEATS,DELI,0.5124038182012465,142,11320,top_5_filtered_similarity_mean,0
