feature,importance,business_interpretation,causality_warning
Primary_Store_ID_293,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_295,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_297,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_296,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_298,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_299,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_300,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_2971,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_304,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_306,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_30685,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_309,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_310,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_311,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_313,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_3001,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_315,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_31582,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_316,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_31642,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_317,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_31742,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_31762,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_3177,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_31782,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_318,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_3182,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_31862,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_319,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_320,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_32004,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_31401,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_321,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_3217,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_323,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_322,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_324,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_3262,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_327,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_3235,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_329,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_3297,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_330,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_3316,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_333,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_3333,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_334,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_3287,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_335,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_337,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_33863,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_338,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_33923,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_340,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_34007,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_339,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_34011,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_341,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_345,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_343,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_346,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_352,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_354,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_355,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_358,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_359,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_360,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_361,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_362,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_363,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_364,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_365,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_366,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_367,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_368,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_369,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_370,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_372,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_374,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_375,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_379,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_380,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_381,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_382,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_384,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_388,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_389,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_391,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_396,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_400,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_401,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_402,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_403,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_404,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_406,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_408,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_410,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_412,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_414,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_415,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_420,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_421,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_422,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_424,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_427,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_429,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_432,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_433,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_436,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_438,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_439,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_441,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_442,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_443,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_445,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_446,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_447,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_448,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_450,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_483,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_569,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_616,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_627,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_634,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_673,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_707,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_722,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
Primary_Store_ID_773,0.0,Primary store/location pattern encoded as categorical information.,Predictive association only; causal effect requires A/B testing.
