feature,mean_abs_shap,business_interpretation,causality_warning
Primary_Store_ID_438,0.0003243523720619457,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_313,0.0003234988108980915,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_286,0.0003166685566580491,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_300,0.0002983393268756615,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_445,0.00025760688870812387,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_292,0.0002553473144367494,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Camp_Count_TypeC,0.0002521739748829996,Predictive association used by the model; not a causal claim.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_320,0.00020771430707314104,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_360,0.00020670088341116902,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_380,0.00020452864242682795,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_403,0.0001968741644260018,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_293,0.0001846907037163751,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_427,0.00017795568875321843,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_345,0.00017449565135045961,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_369,0.00017397600813916702,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_346,0.00017359002018769873,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_31782,0.00017269568675673427,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_288,0.0001683724303312345,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_31401,0.00016790508966361875,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_363,0.00016560590896528145,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_412,0.00016308358494754305,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_361,0.00015852331498469028,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_334,0.0001571371410361698,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_333,0.00015101381416522726,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_421,0.00014521557141129485,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_375,0.00013213886158584028,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_447,0.00013161440429471007,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_358,0.00013093857956532145,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_343,0.00012437233238542795,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_327,0.00012190288231118443,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_31742,0.00011976716759649715,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_420,0.00011633376040107151,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_340,0.00011449153728033601,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_338,0.0001139285053544341,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_391,0.00011074470514162899,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_304,0.00010987223353737086,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_404,0.00010819237887026961,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_408,0.00010668678877992952,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_432,0.00010573226128871246,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_299,9.666971759514585e-05,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_372,9.446367642897985e-05,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_370,8.101082127156554e-05,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_297,7.979441672109622e-05,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_410,7.888036148631188e-05,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_441,7.102090992659385e-05,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_316,6.35587623212071e-05,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_443,5.698521244789128e-05,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_31642,5.075529909188703e-05,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_379,4.9517532429353705e-05,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_318,4.759523139859444e-05,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_306,4.510603656868676e-05,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_422,4.4567655984131695e-05,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_310,4.342434993091579e-05,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_311,4.0939045026510524e-05,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_296,3.976531136838034e-05,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_362,3.699005413116239e-05,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_406,3.382641127255844e-05,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_448,3.2958408660858244e-05,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_396,3.2455281261692376e-05,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_359,3.221691805360906e-05,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_309,3.160513802556625e-05,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_3001,3.146459531508589e-05,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_365,3.065619706089606e-05,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_324,3.0147266106147193e-05,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_329,2.930902346380474e-05,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_388,2.845418403461242e-05,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_295,2.757786961551374e-05,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_354,2.5561932124626872e-05,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_400,2.5160165463810855e-05,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_339,2.007956205324111e-05,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_319,1.9986364201242737e-05,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_322,1.976208328387774e-05,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_337,1.969602906057422e-05,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_389,1.8148043192575692e-05,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_414,1.4100979336559358e-05,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_356,1.1715417799530604e-05,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_442,1.1274695111084385e-05,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_355,1.0385527143703666e-05,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_2863,8.88153069451229e-06,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_315,7.5934290185406866e-06,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_34011,6.969739394411726e-06,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_341,6.6303161858296565e-06,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_323,6.565117836657007e-06,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_722,6.2279396815484026e-06,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_33923,6.036213434324956e-06,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_366,5.695428402696577e-06,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_31582,5.479773863753171e-06,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_31862,5.1886188947048025e-06,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_384,5.110259058673069e-06,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_436,4.9390364439696365e-06,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_2971,4.376549097146373e-06,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_634,2.227668045167247e-06,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_616,2.106860756269591e-06,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_401,2.0018038567459566e-06,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_569,1.316291109052662e-06,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_2817,0.0,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_2888,0.0,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_2882,0.0,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_176,0.0,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_317,0.0,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_3177,0.0,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_31762,0.0,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_3182,0.0,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_30685,0.0,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_352,0.0,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_34007,0.0,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_33863,0.0,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_3235,0.0,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_3287,0.0,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_3297,0.0,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_3316,0.0,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_3333,0.0,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_3217,0.0,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_3262,0.0,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_415,0.0,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_483,0.0,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_627,0.0,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_673,0.0,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_707,0.0,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
Primary_Store_ID_773,0.0,Primary store/location pattern encoded as categorical information.,"SHAP explains prediction contribution, not causal treatment effect."
